pronunciation,kana,kanji,meaning
ouwotateru,おうをたてる,王を立てる,"to enthrone a king"
ouwotumeru,おうをつめる,王を詰める,"to checkmate the king"
ooakinai,おおあきない,大商い,"heavy turnover (trading)"
ooikakusu,おおいかくす,覆い隠す,"to mask, to cover, to cloak, to hide, to conceal"
oomiyo,おおみよ,大御代,"glorious reign of the Emperor"
ooyure,おおゆれ,大揺れ,"turbulence, severe quake"
okao,おかお,お顔,"face"
okori,おこり,起こり,"source, origin, cause, beginning, genesis"
osamaranai,おさまらない,納まらない,"feeling grieved, unsatisfied"
osikakusu,おしかくす,押し隠す,"to cover up, to conceal"
osite,おして,推して,"by conjecture (deduction)"
osiminaku,おしみなく,惜しみ無く,"without stint, freely"
osimoosaremosenu,おしもおされもせぬ,押しも押されもせぬ,"of established reputation, fully established, (universally) recognized, acknowledged, leading"
osiya,おしや,押し屋,"commuter train packer"
osorurunakare,おそるるなかれ,恐るるなかれ,"Be not afraid"
osoreookumo,おそれおおくも,恐れ多くも,"graciously"
otama,おたま,お玉,"ladle"
otunisumasu,おつにすます,乙に澄ます,"to affect a serene mood, to affect a serious demeanor, to act prudishly, to assume an air of superiority"
otosinusi,おとしぬし,落とし主,"loser, owner of a lost article"
otonikiku,おとにきく,音に聞く,"to be widely known, to be famous"
onorewosuteru,おのれをすてる,己を捨てる,"to set aside one's interests"
ohiraki,おひらき,御開き,"breakup (of a ceremony, wedding, party, meeting, etc.), closure"
omoitumi,おもいつみ,重い罪,"serious crime, grave crime"
omoiwoitasu,おもいをいたす,思いを致す,"to think of, to give one's thought to"
omokumotiiru,おもくもちいる,重く用いる,"to give an important position"
omotenoto,おもてのと,表の戸,"street (front) door"
omotemukinoriyuu,おもてむきのりゆう,表向きの理由,"ostensible (surface) reason"
omomukinoaru,おもむきのある,趣の有る,"zestful, tasteful, elegant"
oyanisakarau,おやにさからう,親に逆らう,"to disobey one's parents"
oyanisomuku,おやにそむく,親に叛く,"to disobey one's parents"
oyawokurusimeru,おやをくるしめる,親を苦しめる,"to cause one's parents distress"
orinihurete,おりにふれて,折に触れて,"at every opportunity, whenever possible, whenever the occasion arises, from time to time, occasionally"
oretati,おれたち,俺たち,"we, us"
ka,か,戈,"ge (ancient Chinese dagger-axe)"
kaikei,かいけい,海景,"seascape"
kaikeika,かいけいか,会計課,"accounts section, accounting section"
kaikou,かいこう,塊鉱,"lump ore"
kaisou,かいそう,海曹,"petty officer (navy)"
kaihou,かいほう,海堡,"breakwater, coast battery"
kaihouniomomuku,かいほうにおもむく,快方に赴く,"to improve, to get better, to convalesce"
kaihounimukau,かいほうにむかう,快方に向かう,"to take a turn for the better (of an illness, patient, etc.), to begin to improve, to begin to recover, to convalesce"
kaiwanokumi,かいわのくみ,会話の組,"conversation class"
kaiwokasaneru,かいをかさねる,回を重ねる,"to advance (as of a baseball game), to repeat"
kaiwosimesu,かいをしめす,解を示す,"to show the solution"
kaiwonukeru,かいをぬける,会を抜ける,"to withdraw from a society, to quit an association, to give up one's membership of a society"
kaiwomoyoosu,かいをもよおす,会を催す,"to hold a meeting"
kae,かえ,変え,"changing, change"
huutou,ふうとう,楓糖,"maple sugar"
kaerimitetawoiu,かえりみてたをいう,顧みて他を言う,"to give an evasive answer"
kaere,かえれ,帰れ,"Go home, Get out"
kaonotukuri,かおのつくり,顔の作り,"features of the face"
kaonohiroi,かおのひろい,顔の広い,"well known, well connected"
kaowoakarameru,かおをあからめる,顔を赤らめる,"to blush, to go red in the face, to change color, to change colour"
kaowooou,かおをおおう,顔を覆う,"to cover one's face"
kaowosomukeru,かおをそむける,顔を背ける,"to turn one's face away"
kakai,かかい,下界,"lower bound"
kakaku,かかく,果核,"putamen"
kakarinohito,かかりのひと,掛の人,"official in charge, person in charge"
kakariyu,かかりゆ,掛かり湯,"fresh bathwater to pour over oneself"
kakiarawasu,かきあらわす,書き著す,"to publish (a book)"
kakiokosu,かきおこす,書き起こす,"to begin (start) writing"
kakisourou,かきそうろう,書き候,"(have the honor, honour) to write"
kakuituka,かくいつか,劃一化,"standardization, standardisation"
kakuoti,かくおち,角落ち,"shogi game with the superior player playing without the kaku"
kakusa,かくさ,較差,"range"
kakusatu,かくさつ,各冊,"each book (volume or copy)"
kakusimotu,かくしもつ,隠し持つ,"to carry (something) under cover, to carry concealed"
kakutori,かくとり,角取り,"capturing a bishop"
kakunikiru,かくにきる,角に切る,"to cut into squares (cubes)"
kakuhoukai,かくほうかい,核崩壊,"disintegration of a cell nucleus"
kakurehusu,かくれふす,隠れ伏す,"to lie concealed"
kakuremiti,かくれみち,隠れ道,"hidden path"
kakuwosuteru,かくをすてる,角を捨てる,"to sacrifice a bishop"
kakuwomamoru,かくをまもる,格を守る,"to observe the rules"
kakeinotasuke,かけいのたすけ,家計の助け,"assistance in supporting a family"
kakeiwosimeru,かけいをしめる,家計を締める,"to economize in the household (economise)"
kakou,かこう,化工,"chemical engineering"
kasanikakaru,かさにかかる,嵩にかかる,"to be highhanded, to be arrogant, to be overbearing"
kasiori,かしおり,菓子折り,"box of cakes"
kasituwoyurusu,かしつをゆるす,過失を許す,"to forgive a person for their error, to forgive someone for their mistake"
kasiratukai,かしらつかい,頭遣い,"puppeteer for the head"
kasumiwokuu,かすみをくう,霞を食う,"to live on air"
kasei,かせい,河清,"clearing of the river water"
kasetuwotateru,かせつをたてる,仮説を立てる,"to build up a hypothesis"
kataiyakusoku,かたいやくそく,固い約束,"solemn promise"
katanawoutu,かたなをうつ,刀を打つ,"to temper a sword, to forge a sword"
katanawosasu,かたなをさす,刀を差す,"to wear a sword"
katamimi,かたみみ,片耳,"one ear"
katawaraniyoru,かたわらによる,傍らに寄る,"to step aside"
katuraotoko,かつらおとこ,桂男,"man in the moon"
katuwoiyasu,かつをいやす,渇を癒やす,"to quench one's thirst"
katuwoireru,かつをいれる,活を入れる,"to apply the art of resuscitation (in judo, etc.)"
katuwomotomeru,かつをもとめる,活を求める,"to try to find a way out"
kaneniakasite,かねにあかして,金に飽かして,"sparing no money, regardless of expense"
kanenikitanai,かねにきたない,金に汚い,"mean (greedy) about money, stingy"
kanenosito,かねのしと,金の使途,"how money is used"
kanenone,かねのね,鐘の音,"chimes, toll of a bell"
kanewokakeru,かねをかける,金を賭ける,"to bet money"
kanewotameru,かねをためる,金を貯める,"to save money"
kanewotuku,かねをつく,鐘を突く,"to strike a bell"
kanewototonoeru,かねをととのえる,金を調える,"to raise money"
kanoko,かのこ,鹿の子,"cloth dyed in a dappled pattern"
kanoti,かのち,彼の地,"there, that place"
kahiwotoru,かひをとる,可否を採る,"to take the ayes and noes"
kahu,かふ,家譜,"pedigree, genealogy"
kamaire,かまいれ,鎌入れ,"harvesting"
kamataki,かまたき,罐焚き,"stoker, fireman"
kamawanai,かまわない,構わない,"no problem, it doesn't matter"
kaminitukaeru,かみにつかえる,神に仕える,"to serve God"
kaminoai,かみのあい,神の愛,"divine love, agape"
kamiwouyamau,かみをうやまう,神を敬う,"to revere God"
kamiwoosoreru,かみをおそれる,神を畏れる,"to fear God"
kamiwotarasu,かみをたらす,髪を垂らす,"to let one's hair hang down"
kamiwotokasu,かみをとかす,髪を梳かす,"to comb (one's hair)"
kamiwototonoeru,かみをととのえる,髪を整える,"to arrange one's hair, to tidy up one's hair"
kamoku,かもく,火木,"Tuesdays and Thursdays"
karakutinosake,からくちのさけ,辛口の酒,"dry sake"
karatenokata,からてのかた,空手の型,"kata (in karate)"
karamari,からまり,絡まり,"entanglement"
karayakusoku,からやくそく,空約束,"empty promise"
kariatumeru,かりあつめる,駆り集める,"to round up, to gather, to muster, to mobilize, to mobilise"
karikeiyaku,かりけいやく,仮契約,"provisional contract"
kariniiku,かりにいく,狩りに行く,"to go hunting"
karinooya,かりのおや,仮の親,"foster parent, expedient parent"
karinona,かりのな,仮の名,"alias, assumed name"
kariyousetu,かりようせつ,仮溶接,"tack welding"
kawakinohayai,かわきのはやい,乾きの早い,"fast drying (clothes)"
kawanominamoto,かわのみなもと,河の源,"fountainhead"
kawawokoeru,かわをこえる,川を越える,"to cross a river"
kiaiwokakeru,きあいをかける,気合いを掛ける,"to cheer on, to raise a shout"
kiatu,きあつ,汽圧,"steam pressure"
kii,きい,機位,"position of aircraft"
kiesaru,きえさる,消え去る,"to disappear, to vanish"
kika,きか,葵花,"sunflower"
kikaiwoatukau,きかいをあつかう,機械を扱う,"to handle a tool, to work a machine"
kiki,きき,輝輝,"brilliance"
kikisemaru,ききせまる,鬼気迫る,"to be bloodcurdling, to be ghastly"
kiku,きく,規矩,"rule, standard, compass and ruler"
kikokunotonituku,きこくのとにつく,帰国の途につく,"to leave for home"
kikotu,きこつ,肌骨,"skin and bones"
kisi,きし,季子,"last child"
tutinotomi,つちのとみ,己巳,"Earth Snake (6th year of the sexagenary cycle, e.g. 1929, 1989, 2049)"
kisekiniiru,きせきにいる,鬼籍に入る,"to pass away, to join the majority, to enter the death register"
kisokuwomamoru,きそくをまもる,規則を守る,"to abide (by the rules), to keep to the regulations"
kitaiusu,きたいうす,期待薄,"not to be depended on, of little hope"
kitunewootosu,きつねをおとす,狐を落とす,"to exorcise a fox spirit (from a person)"
kinaru,きなる,奇なる,"odd, strange, eccentric"
kinouturo,きのうつろ,木の虚ろ,"hollow in a tree"
kinotumaru,きのつまる,気の詰まる,"constrained, ill at ease"
kinohasi,きのはし,木の端,"fragment of wood"
kinomata,きのまた,木の叉,"crotch of a tree"
kinomukumamani,きのむくままに,気の向くままに,"at one's fancy (whim)"
konomoto,このもと,木の下,"under a tree"
kinorisinai,きのりしない,気乗りしない,"indisposed, halfhearted"
kihi,きひ,譏誹,"abuse, slander"
kihu,きふ,肌膚,"skin"
kimowohiyasu,きもをひやす,肝を冷やす,"to be struck with terror, to be terrified, to be scared to death"
keisi,けいし,経史,"Chinese classics (ethics, politics, and history)"
muiteiru,むいている,向いている,"to be cut out for (e.g. a job), to be suited (to)"
kiyoiai,きよいあい,清い愛,"pure love, platonic love"
kirikakaru,きりかかる,斬りかかる,"to assault with a sword, to stab at, to slash at"
kirinioowareru,きりにおおわれる,霧に覆われる,"to be enveloped in mist"
kirinitutumareru,きりにつつまれる,霧に包まれる,"to be shrouded in mist"
kirou,きろう,生蝋,"crude Japan wax"
kirokuninoseru,きろくにのせる,記録に載せる,"to put on record"
kiwaminaki,きわみなき,窮みなき,"without limit, endless"
kiwametukinosina,きわめつきのしな,極め付きの品,"article of certified genuineness"
kiwokiru,きをきる,木を伐る,"to fell a tree"
kiwokusarasu,きをくさらす,気を腐らす,"to have the blues, to be depressed"
kiwotirasu,きをちらす,気を散らす,"to distract a person's attention"
kiwoterau,きをてらう,奇を衒う,"to make a display of one's originality (eccentricity), to deliberately act oddly (e.g. to get attention)"
kuuatu,くうあつ,空圧,"air pressure, pneumatic pressure"
kuusou,くうそう,空曹,"noncommissioned officer of the Japanese Air Self Defense Forces (Defence)"
kuuwotukamu,くうをつかむ,空を掴む,"to grasp at the air"
kusurinotikara,くすりのちから,薬の力,"effectiveness of a drug, efficacy of a drug"
kusuriwotukeru,くすりをつける,薬をつける,"to apply medicine"
kusoku,くそく,矩則,"standard, rule"
kutikaramoreru,くちからもれる,口から漏れる,"to pass from one's lips, to escape one's lips"
kutiniau,くちにあう,口に合う,"to be palatable, to suit one's taste"
kutiwokakeru,くちをかける,口を掛ける,"to talk, to call, to invite"
kutiwotutusimu,くちをつつしむ,口を慎む,"to be careful in speech"
kutiwohasamu,くちをはさむ,口を挟む,"to cut into (a conversation), to interject"
kutiwowaru,くちをわる,口を割る,"to confess, to speak out, to disclose, to tell"
kutuwosoroeru,くつをそろえる,靴を揃える,"to arrange (one's) shoes (e.g. in a genkan)"
